구분,총계,유아,초등,중·고등,성인,노인,장애인,외국인
서울특별시,298410,1769,31034,27801,225830,8518,2970,488
부산광역시,58616,864,24377,12647,19264,859,407,198
대구광역시,50634,5846,7933,8161,27386,1201,42,65
인천광역시,45085,137,1524,10464,32715,115,130,0
광주광역시,60625,2482,3747,5751,44981,2901,372,391
대전광역시,42781,5238,3647,4461,27750,1166,367,152
울산광역시,39990,1065,8036,9582,20335,572,340,60
세종특별자치시,15017,11,1018,2591,11335,62,0,0
경기도,460480,27069,78300,86272,257381,8361,2513,584
강원도,191764,17813,30775,24959,98870,12968,2171,4208
충청북도,129044,13054,19274,14984,56062,23697,832,1141
충청남도,259652,19612,38664,25575,164822,8431,593,1955
전라북도,103454,7274,18983,13964,54275,6765,1772,421
전라남도,88101,16132,13770,12265,41217,3541,1007,169
경상북도,86385,6458,15570,12694,47827,2909,582,345
경상남도,146774,4085,31604,55582,51107,3937,286,173
제주특별자치도,43172,1962,14075,5301,19512,2020,300,2
