구분,유아,초등,중고등,성인,노인,장애인,외국인
서울,11036,1627,1984,43289,22219,1550,475
부산,766,10018,5997,10261,1531,243,217
대구,7194,20074,8957,15830,12172,938,615
인천,153,393,67,13158,15671,1237,143
광주,1247,2117,4686,4587,449,872,383
대전,2538,5051,3731,11104,2424,1066,0
울산,440,922,1829,9637,706,130,348
세종,879,1067,1642,2546,1060,65,51
경기,24417,73536,41912,43037,19250,5303,2744
강원,3838,6148,2612,44329,6619,973,885
충북,1438,2174,1357,8111,4965,286,160
충남,404,523,558,3558,150,166,33
전북,1789,5613,7236,12116,5490,479,425
전남,9157,9249,12355,18057,3981,600,286
경북,3509,5816,5269,14903,7551,1113,385
경남,2906,17436,23273,14541,3066,965,560
창원,417,1744,5594,17651,15015,139,55
제주,61,3910,338,3926,373,14,7
